x,y,DISTANCE,n,risk,safe_first
2170,1477,189.7366596,2,1,risky first
1993,1657,252.4460338,2,1,risky first
1894,1663,99.18165153,2,1,risky first
1714,1663,180,2,1,risky first
1579,1753,162.2498074,2,1,risky first
1579,1867,114,2,1,risky first
1633,2032,173.6116356,2,1,risky first
1813,2032,180,2,1,risky first
1993,2065,183,2,1,risky first
2110,2047,118.3765179,2,1,risky first
2110,1867,180,2,1,risky first
2110,1687,180,2,1,risky first
2152,1552,141.38246,2,1,risky first
2026,1729,217.2671167,2,1,risky first
1903,1699,126.6056871,2,1,risky first
1930,1660,47.4341649,2,1,risky first
1930,1660,0,2,1,risky first
1930,1516,144,2,1,risky first
1930,1336,180,2,1,risky first
1930,1156,180,2,1,risky first
2011,1012,165.2180378,2,1,risky first
2032,1030,27.65863337,2,1,risky first
2167,943,160.6051058,2,1,risky first
2281,994,124.8879498,2,1,risky first
2281,1009,15,2,1,risky first
2113,1048,172.4673882,2,1,risky first
2044,1153,125.6423495,2,1,risky first
2014,1072,86.37708029,2,1,risky first
1861,1072,153,2,1,risky first
1681,1252,254.5584412,2,1,risky first
1624,1432,188.8094277,2,1,risky first
1504,1525,151.8189711,2,1,risky first
1324,1525,180,2,1,risky first
1144,1525,180,2,1,risky first
964,1525,180,2,1,risky first
871,1525,93,2,1,risky first
871,1525,0,2,1,risky first
871,1630,105,2,1,risky first
889,1723,94.72592042,2,1,risky first
994,1723,105,2,1,risky first
1174,1723,180,2,1,risky first
1354,1723,180,2,1,risky first
1384,1855,135.3661701,2,1,risky first
1204,2035,254.5584412,2,1,risky first
1024,1969,191.7185437,2,1,risky first
844,1789,254.5584412,2,1,risky first
748,1834,106.0235823,2,1,risky first
928,1834,180,2,1,risky first
1108,1834,180,2,1,risky first
1288,1834,180,2,1,risky first
1468,1834,180,2,1,risky first
1597,1756,150.7481343,2,1,risky first
1669,1576,193.8659331,2,1,risky first
1849,1396,254.5584412,2,1,risky first
1765,1372,87.36131867,2,1,risky first
1837,1552,193.8659331,2,1,risky first
1837,1732,180,2,1,risky first
1837,1912,180,2,1,risky first
1888,2092,187.0855419,2,1,risky first
2023,2107,135.8307771,2,1,risky first
2029,1975,132.1362933,2,1,risky first
2029,1795,180,2,1,risky first
2029,1615,180,2,1,risky first
1963,1435,191.7185437,2,1,risky first
1909,1255,187.9255172,2,1,risky first
1921,1075,180.3995565,2,1,risky first
1990,1039,77.82673063,2,1,risky first
